participant_id,puzzle_id,order,pause_count,time_to_solve_sec,total_time_spent_sec,check_count,error_count,percent_error,percent_incomplete,hint_count,initial_difficulty,final_difficulty,solved_flag,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,expertise_composite
Bing-p14,3,3,60,559.018055,559.018319,1,9,0.0,0.0,5,4,3.0,True,5,7,0,2,1,2,-0.05107675039278814
Bing-p15,2,1,34,588.857589,588.857589,2,9,0.0,0.0,1,2,2.0,True,1,2,0,1,1,1,-1.5065211041568594
Bing-p15,5,2,42,730.584509,730.584509,1,10,0.0,0.0,4,4,4.0,True,1,2,0,1,1,1,-1.5065211041568594
Bing-p15,0,3,48,518.005719,518.006245,1,16,0.0,0.0,5,4,4.0,True,1,2,0,1,1,1,-1.5065211041568594
Bing-p16,2,1,24,230.380205,230.380205,1,0,0.0,0.0,0,2,2.0,True,9,8,2,2,3,3,1.6778568567930072
Bing-p16,5,2,24,176.320133,176.320133,1,1,0.0,0.0,0,3,3.0,True,9,8,2,2,3,3,1.6778568567930072
Bing-p16,0,3,31,362.694965,362.69536,1,0,0.0,0.0,0,4,4.0,True,9,8,2,2,3,3,1.6778568567930072
Bing-p17,3,1,70,666.558991,666.558991,1,11,0.0,0.0,8,4,3.0,True,1,4,0,1,1,2,-1.020604035415583
Bing-p17,5,2,51,579.852173,579.852173,1,11,0.0,0.0,6,3,3.0,True,1,4,0,1,1,2,-1.020604035415583
Bing-p17,2,3,40,364.660069,364.660259,1,1,0.0,0.0,2,2,2.0,True,1,4,0,1,1,2,-1.020604035415583
Bing-p18,4,1,40,467.811032,467.811032,2,5,0.0,0.0,5,4,4.0,True,3,8,0,1,0,3,-0.4014775083380528
Bing-p18,1,2,40,507.039281,507.039281,2,13,0.0,0.0,5,4,4.0,True,3,8,0,1,0,3,-0.4014775083380528
Bing-p18,0,3,45,469.162298,469.162578,2,8,0.0,0.0,4,3,3.0,True,3,8,0,1,0,3,-0.4014775083380528
Bing-p19,5,1,28,284.833059,284.833059,2,5,0.0,0.0,1,3,3.0,True,8,6,3,2,3,2,1.3499378857411461
Bing-p19,1,2,30,341.960938,341.960938,1,2,0.0,0.0,0,4,4.0,True,8,6,3,2,3,2,1.3499378857411461
Bing-p19,4,3,28,257.024152,257.024559,1,5,0.0,0.0,0,4,4.0,True,8,6,3,2,3,2,1.3499378857411461
Bing-p2,2,1,37,365.322334,365.322334,1,8,0.0,0.0,1,4,3.0,True,7,6,1,1,1,3,0.22139964180213056
Bing-p2,3,2,43,541.887496,541.887496,2,16,0.0,0.0,2,4,4.0,True,7,6,1,1,1,3,0.22139964180213056
Bing-p2,5,3,48,558.700502,558.701255,1,7,0.0,0.0,3,4,4.0,True,7,6,1,1,1,3,0.22139964180213056
Bing-p20,0,1,74,811.079525,811.079525,1,38,0.0,0.0,10,5,5.0,True,7,9,2,2,2,3,1.3562924179987177
Bing-p20,3,2,65,746.888988,746.888988,3,11,0.0,0.0,10,4,4.0,True,7,9,2,2,2,3,1.3562924179987177
Bing-p20,4,3,59,625.040079,625.04042,1,14,0.0,0.0,5,3,3.0,True,7,9,2,2,2,3,1.3562924179987177
Bing-p22,2,1,33,492.771437,492.771437,1,3,0.0,0.0,0,3,2.0,True,6,6,1,1,2,2,0.13975046584601333
Bing-p22,4,2,48,654.710609,654.710609,1,1,0.0,0.0,0,4,4.0,True,6,6,1,1,2,2,0.13975046584601333
Bing-p22,5,3,33,581.620515,581.620767,1,1,0.0,0.0,0,3,3.0,True,6,6,1,1,2,2,0.13975046584601333
Bing-p23,3,1,98,1223.164808,1223.164808,1,80,0.0,0.0,5,4,4.0,True,1,2,0,0,1,1,-1.7952564244017626
Bing-p23,1,2,58,713.663945,713.663945,1,18,0.0,0.0,0,3,3.0,True,1,2,0,0,1,1,-1.7952564244017626
Bing-p23,4,3,62,1000.338866,1000.338866,0,30,0.49,0.98,18,5,,False,1,2,0,0,1,1,-1.7952564244017626
Bing-p24,3,1,60,723.405998,723.405998,1,20,0.0,0.0,10,5,3.0,True,1,5,0,1,1,3,-0.6476960004979802
